dominio;documento;nome;uf;cidade;cep;data_cadastro;ultima_atualizacao;ticket
promocaocomercial.gov.br;000.394.536/0009-96;Min. Relações Exteriores Depto Promoção Comercial;DF;Brasília;70170-900;2012-06-27 14:17:20;2020-05-05 20:44:22;9976315
tradeandinvestment.gov.br;000.394.536/0009-96;Min. Relações Exteriores Depto Promoção Comercial;DF;Brasília;70170-900;2012-08-10 12:59:50;2020-05-05 20:44:17;10309351
tradepromotion.gov.br;000.394.536/0009-96;Min. Relações Exteriores Depto Promoção Comercial;DF;Brasília;70170-900;2012-05-24 17:29:54;2020-05-05 20:44:17;9837295
abc.gov.br;000.394.536/0065-01;Ministério das Relações Exteriores;DF;Brasili;70170-900;2001-09-24 19:40:12;2020-05-05 20:44:07;642972
cienciasus.gov.br;000.394.544/0001-85;Ministério da Saúde;DF;Brasília;70070-600;2019-01-23 23:30:35;2019-12-27 17:39:15;19228710
conitec.gov.br;000.394.544/0008-51;MINISTERIO DA SAUDE;DF;Brasília;70058-900;2014-10-06 14:47:09;2016-06-06 13:42:59;13316849
ensaiosclinicos.gov.br;000.394.544/0008-51;MINISTERIO DA SAUDE;DF;Brasília;70058-900;2010-07-13 18:21:21;2020-02-06 13:33:38;7050969
saude.gov.br;000.394.544/0008-51;MINISTERIO DA SAUDE;DF;Brasília;70058-900;1996-08-04 12:00:00;2020-03-21 10:54:09;13340
cenp.gov.br;000.394.544/0022-00;Centro Nacional de Primatas;PA;Ananindeua;67020-454;2015-11-25 14:25:42;2016-11-01 18:33:07;14947108
iec.gov.br;000.394.544/0025-52;FNS - Instituto Evandro Chagas;PA;Ananindeua;67030-000;2013-10-14 14:42:41;2013-12-04 18:33:39;12108828
ipp.gov.br;000.394.544/0056-59;Instituto Philippe Pinel;RJ;Rio de Janeiro;22290-001;1998-12-08 12:29:55;2020-05-05 20:44:12;129608
hrps.gov.br;000.394.544/0065-40;Hospital Raphael de Paula Souza;RJ;Rio de Janeiro;22780-190;1998-08-25 14:05:37;2020-05-05 20:44:16;110087
cancer.gov.br;000.394.544/0171-50;MINISTÉRIO DA SAÚDE - INSTITUTO NACIONAL DE CÂNCER;RJ;Rio de Janeiro;20230-130;2005-03-22 12:12:19;2018-12-05 16:39:20;2040942
inca.gov.br;000.394.544/0171-50;MINISTÉRIO DA SAÚDE - INSTITUTO NACIONAL DE CÂNCER;RJ;Rio de Janeiro;20230-130;2002-02-21 17:19:49;2020-03-06 22:50:45;739564
hpiedade.gov.br;000.394.544/0209-68;Hospital da Piedade;RJ;Rio de Janeiro;20740-310;1998-10-02 13:50:08;2020-05-05 20:44:18;117547
datasus.gov.br;000.394.544/0271-13;Ministério da Saúde;RJ;Rio de Janeiro;20031-142;1995-10-31 12:00:00;2016-06-06 13:35:52;4437
sus.gov.br;000.394.544/0271-13;Ministério da Saúde;RJ;Rio de Janeiro;20031-142;2011-08-22 13:52:29;2016-06-06 13:40:44;8672213
itaipu.gov.br;000.395.988/0014-50;ITAIPU BINACIONAL;PR;Foz do Iguaçu;85866-900;1996-10-15 11:00:00;2019-05-30 10:44:59;18930
agricultura.gov.br;000.396.895/0001-25;Ministério da Agricultura Pecuária e Abastecimento;DF;Brasília;70043-900;1997-04-15 12:00:00;2020-03-27 20:58:19;36630
inmet.gov.br;000.396.895/0010-16;INSTITUTO NACIONAL DE METEOROLOGIA;DF;Brasília;70680-900;1996-06-11 12:00:00;2019-03-21 14:52:04;0
codevasf.gov.br;000.399.857/0001-26;COMPANHIA DE DESENVOLVIMENTO DO VALE DO SAO FRANCI;DF;Brasília;70830-901;1996-01-01 12:00:00;2020-04-30 22:13:47;0
cnen.gov.br;000.402.552/0001-26;Comissão Nacional de Energia Nuclear;RJ;Rio de Janeiro;22290-901;1996-02-16 12:00:00;2020-04-19 15:50:56;5454
ien.gov.br;000.402.552/0003-98;Instituto de Engenharia Nuclear;RJ;Rio de Janeiro;21941-906;2000-11-22 17:22:12;2010-01-19 16:52:57;454275
ird.gov.br;000.402.552/0004-79;INSTITUTO DE RADIOPROTECAO E DOSIMETRIA;RJ;Rio de Janeiro;22783-127;1995-12-15 12:00:00;2020-04-20 14:29:10;4852
cnenpc.gov.br;000.402.552/0007-11;COMISSÃO NACIONAL DE ENERGIA NUCLEAR;MG;Poços de Caldas;37719-005;2001-03-26 12:28:32;2020-05-05 20:44:09;532132
crcn.gov.br;000.402.552/0014-40;Centro Regional de Ciencias Nucleares;PE;Recife;50740-540;1999-10-28 17:18:23;2009-02-19 11:48:46;204322
brasildigital.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2015-03-02 19:51:54;2018-05-17 14:51:02;13890186
cadicon.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2016-09-05 14:43:34;2018-05-17 14:51:27;16012699
contaspublicas.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;1999-05-06 12:55:40;2018-05-17 14:51:53;153234
eufiscalizo.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2014-08-11 13:11:46;2018-05-17 14:52:32;13148199
publicgovernance.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2014-08-12 18:30:34;2018-05-17 15:03:27;13183982
redecontrole.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2010-03-09 14:07:38;2018-05-17 15:01:53;6561807
rededecontrole.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2010-03-26 10:24:10;2018-05-17 15:00:56;6628310
seminariobrasildigital.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2015-03-02 19:51:54;2018-05-17 15:00:28;13890177
tcu.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;1996-04-10 12:00:00;2019-06-17 22:06:22;6596
ticontrole.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2008-10-08 13:41:43;2018-05-17 14:59:37;4916917
titcb.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2018-06-07 17:33:46;2018-06-07 17:33:46;18437226
tribunaiscplp.gov.br;000.414.607/0001-18;Tribunal de Contas da União;DF;Brasília;70042-900;2000-09-05 11:58:56;2018-05-17 14:58:39;415628
cade.gov.br;000.418.993/0001-16;Conselho Administrativo de Defesa Econômica;DF;Brasília;70770-504;2001-04-18 20:48:59;2020-04-16 14:17:07;546914
rpp.gov.br;000.422.744/0001-02;Fundação de Amparo a Pesquisa do Estado do Piauí;PI;Teresina;64018-200;1998-05-08 18:23:38;2020-05-05 20:44:17;95057
imbel.gov.br;000.444.232/0001-39;INDÚSTRIA DE MATERIAL BÉLICO DO BRASIL - IMBEL;SP;Piquete;12620-000;2000-02-23 13:41:15;2020-01-21 16:22:58;263716
coffito.gov.br;000.487.140/0001-36;CONS. FED. DE FISIOTERAPIA E TERAPIA OCUPACIONAL;DF;Brasília;70340-906;2016-07-05 14:54:56;2016-07-05 15:45:28;15764100
bdjur.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2004-10-13 14:50:40;2016-02-11 13:25:40;1845312
consorciobdjur.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2004-10-08 15:57:04;2016-02-11 13:25:56;1833739
e-jud.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2004-05-11 12:04:16;2018-09-03 17:38:07;1607240
e-jus.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2004-05-11 12:04:16;2016-02-11 13:26:11;1608962
e-stj.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2004-04-28 18:40:10;2020-05-05 23:32:57;1617198
portaldajustica.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2004-06-07 17:10:18;2016-02-11 13:26:23;1644624
stj.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;1995-08-29 12:00:00;2020-05-05 23:31:35;0
unijus.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2006-09-26 17:47:46;2016-02-11 13:26:48;3075238
varadafazenda.gov.br;000.488.478/0001-02;SUPERIOR TRIBUNAL DE JUSTICA;DF;Brasília;70095-900;2004-07-22 18:15:37;2016-02-11 13:27:03;1734201
brasilcidadao.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2017-02-16 18:03:32;2019-04-10 11:26:50;16634905
dados.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2011-07-29 13:40:32;2020-02-01 02:38:28;8552337
dni.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2018-02-05 18:20:20;2020-02-01 02:39:14;17995537
governodigital.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2017-09-26 18:25:15;2020-02-01 02:39:54;17498166
governoeletronico.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2000-12-11 11:56:03;2020-02-01 02:40:39;480986
nuvem.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2016-07-12 19:49:11;2020-02-04 05:30:42;15764685
portal.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2019-07-29 11:38:13;2020-02-01 02:42:32;19943273
servicos.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2010-05-18 17:59:45;2020-04-16 14:00:41;6803183
sisp.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2010-12-10 23:52:45;2020-04-27 20:13:25;7635221
vlibras.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2015-12-04 20:14:41;2020-02-26 18:41:49;14978448
www.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2017-08-29 22:01:12;2020-04-09 21:58:08;17394568
xn--servios-yxa.gov.br;000.489.828/0001-55;Ministerio do Planejamento, Orcamento e Gestao;DF;Brasília;70770-524;2012-02-23 09:53:25;2020-02-17 16:25:25;9507560
app.gov.br;000.489.828/0003-17;Ministerio do Planejamento Orçamento e Gestão;DF;Brasília;70770-524;2019-06-04 14:46:59;2020-04-16 13:52:54;19723168
capacidades.gov.br;000.489.828/0006-60;Ministério das Cidades;DF;Brasília;70070-010;2011-10-19 18:22:27;2020-05-05 20:44:19;8980271
orcamento.gov.br;000.489.828/0008-21;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO-MP;DF;Brasília;70770-524;2012-06-27 18:04:07;2020-05-27 12:15:10;10078555
siop.gov.br;000.489.828/0008-21;MINISTERIO DO PLANEJAMENTO, ORCAMENTO E GESTAO-MP;DF;Brasília;70770-524;2012-06-27 18:04:07;2020-05-27 12:13:50;10078525
patrimoniodetodos.gov.br;000.489.828/0009-02;Secretaria do Patromônio da União;DF;Brasília;70046-900;2009-09-30 11:01:50;2020-05-22 14:47:49;5992626
stm.gov.br;000.497.560/0001-01;SUPERIOR TRIBUNAL MILITAR;DF;Brasília;70098-900;1997-01-06 11:00:00;2017-08-17 20:20:29;27285
ac-jus.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;2005-01-05 10:25:29;2020-01-24 18:42:59;1943824
acjus.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;2005-01-05 10:10:27;2020-01-24 18:43:43;1943823
cjf.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;1997-01-29 11:00:00;2019-07-16 18:36:58;29162
jf.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;2005-01-07 10:29:51;2019-07-16 18:37:26;1960548
justicafederal.gov.br;000.508.903/0001-88;CONSELHO DA JUSTICA FEDERAL;DF;Brasília;70200-003;2005-01-11 12:43:56;2019-07-16 18:38:36;1965153
jfsp.gov.br;000.508.903/0009-35;Justiça Federal de São Paulo;SP;São Paulo;01310-200;2001-03-16 20:44:33;2017-10-24 14:42:17;526406
jfpe.gov.br;000.508.903/0014-00;Justica Federal de 1a Instancia;PE;Recife;50781-000;1999-12-07 20:12:37;2020-05-05 20:44:19;227076
jfce.gov.br;000.508.903/0016-64;Justiça Federal no Ceará;CE;Fortaleza;60140-140;2000-03-13 21:12:29;2020-05-05 20:44:14;283761
jfse.gov.br;000.508.903/0018-26;Justica Federal - Secao Judiciaria do Estado de SE;SE;Aracaju;49081-015;1999-01-12 20:17:22;2019-06-04 15:50:16;134712
jfal.gov.br;000.508.903/0019-07;Justica Federal de Primeira Instância;AL;Maceió;57046-000;2000-03-17 20:31:23;2020-05-06 19:10:16;286462
jfrn.gov.br;000.508.903/0020-40;Justiça Federal do Rio Grande do Norte;RN;Natal;59064-250;1998-01-16 12:22:14;2010-09-05 05:20:41;80611
jfpb.gov.br;000.508.903/0021-21;Justica Federal de Primeira Instancia;PB;João Pessoa;58031-220;1999-09-14 14:14:51;2020-05-05 20:44:09;194147
jfms.gov.br;000.508.903/0024-74;Justiça Federal de 1ª Instância;MS;Campo Grande;79037-102;2002-07-16 13:30:52;2020-05-05 20:44:25;899650
eleicoes.gov.br;000.509.018/0001-13;Tribunal Superior Eleitoral;DF;Brasília;70096-900;2001-08-02 18:49:44;2013-10-02 17:06:46;615171
justicaeleitoral.gov.br;000.509.018/0001-13;Tribunal Superior Eleitoral;DF;Brasília;70096-900;2001-08-01 17:09:46;2015-02-03 17:46:27;614308
tse.gov.br;000.509.018/0001-13;Tribunal Superior Eleitoral;DF;Brasília;70096-900;1996-06-17 12:00:00;2015-01-08 20:19:43;9718
tre-al.gov.br;000.509.018/0002-02;Tribunal Regional Eleitoral de Alagoas;AL;Maceio;57020-720;1998-11-11 16:07:14;2015-01-08 20:21:32;123231
tre-am.gov.br;000.509.018/0003-85;Tribunal Regional Eleitoral do Amazonas;AM;Manaus;69060-000;1998-08-03 20:07:10;2015-01-08 20:21:58;106208
tre-ba.gov.br;000.509.018/0004-66;Tribunal Regional Eleitoral da Bahia;BA;Salvador;40237-900;1998-07-24 20:05:07;2015-01-08 21:05:03;106344
tre-ce.gov.br;000.509.018/0005-47;Tribunal Regional Eleitoral do Ceará;CE;Fortaleza;60050-080;1998-07-30 19:43:39;2020-05-05 20:44:19;106325
tre-df.gov.br;000.509.018/0006-28;Tribunal Regional Eleitoral do Distrito Federal;DF;BRASÍLIA;70094-901;1998-07-31 18:20:32;2015-01-08 21:07:24;106173
tre-es.gov.br;000.509.018/0007-09;Tribunal Regional Eleitoral do Esprito do Santo;ES;Vitória;29052-123;1998-07-23 20:25:15;2015-01-08 21:08:38;106347
tre-go.gov.br;000.509.018/0008-90;Tribunal Regional Eleitoral do Goias;GO;Goiania;74003-010;1998-08-14 16:54:00;2015-01-08 21:09:51;108492
tre-ma.gov.br;000.509.018/0009-70;Tribunal Regional Eleitoral do Maranhão;MA;São Luís;65010-917;1998-08-31 13:27:02;2015-01-08 21:11:31;111330
tre-mg.gov.br;000.509.018/0011-95;TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS;MG;BELO HORIZONTE;30380-000;1998-06-15 17:24:54;2020-04-17 21:57:42;100479
tre-pa.gov.br;000.509.018/0012-76;Tribunal Regional Eleitoral do Pará;PA;Belém;66015-160;1998-08-03 14:01:15;2015-01-08 21:13:38;106204
tre-pb.gov.br;000.509.018/0013-57;Tribunal Regional Eleitoral da Paraíba;PB;João Pessoa;58013-250;1998-04-15 12:44:06;2020-05-05 20:44:23;91806
tre-pe.gov.br;000.509.018/0015-19;Tribunal Regional Eleitoral do Pernambuco;PE;Recife;50020-500;1998-08-10 14:18:51;2015-01-08 21:14:11;108167
tre-pi.gov.br;000.509.018/0016-08;Tribunal Regional Eleitoral do Piauí;PI;Teresína;64000-830;1998-08-12 13:39:50;2015-01-08 21:14:32;110090
tre-rn.gov.br;000.509.018/0018-61;Tribunal Regional Eleitoral do Rio Grande do Norte;RN;Natal;59025-580;1998-08-05 12:18:49;2015-01-08 21:16:45;108318
tre-rs.gov.br;000.509.018/0019-42;TRIBUNAL REGIONAL ELEITORAL DO RIO GRANDE DO SUL;RS;Porto Alegre;90010-280;1998-07-15 12:04:53;2020-05-05 20:44:25;105897
tre-sc.gov.br;000.509.018/0020-86;Tribunal Regional Eleitoral de Santa Catarina;SC;Florianópolis;88015-140;1998-08-05 12:49:05;2015-01-08 21:17:52;106213
tre-sp.gov.br;000.509.018/0021-67;Tribunal Regional Eleitoral de São Paulo;SP;São Paulo;01316-900;1998-08-07 15:04:12;2020-05-05 20:44:15;108320
tre-se.gov.br;000.509.018/0022-48;Tribunal Regional Eleitoral de Sergipe;SE;Aracaju;49080-000;1998-08-24 17:26:44;2015-01-08 21:18:21;110572
tre-ac.gov.br;000.509.018/0023-29;Tribunal Regional Eleitoral do Acre;AC;Rio Branco;69915-900;1998-08-12 12:39:07;2015-01-08 20:20:40;109494
tre-ms.gov.br;000.509.018/0024-00;Tribunal Regional Eleitoral de MS;MS;Campo Grande;79037-100;1998-01-16 12:21:46;2015-01-08 21:12:16;80021
tre-to.gov.br;000.509.018/0025-90;Tribunal Regional Eleitoral do Tocantins;TO;Palmas;77085-020;1998-08-12 12:39:08;2015-01-08 21:18:52;109495
tre-rr.gov.br;000.509.018/0026-71;Tribunal Regional Eleitoral de Roraima;RR;Boa Vista;69301-380;1998-08-05 19:21:58;2015-01-08 21:17:31;108319
prove.gov.br;000.509.612/0001-04;EMATER -DF;DF;Brasília;70779-900;1998-07-16 12:12:51;2020-05-05 20:44:10;104260
csjt.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;2001-03-02 21:18:28;2020-05-05 20:44:15;520691
enamat.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;2006-09-06 19:39:02;2020-05-05 20:44:14;3046336
jt.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;2001-03-23 12:50:34;2020-05-05 20:44:09;536775
justicadotrabalho.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;2001-03-23 12:50:32;2020-05-05 20:44:20;536773
justra.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;2001-03-23 12:50:32;2020-05-05 20:44:18;536770
portaljt.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;2001-05-14 20:13:33;2020-05-05 20:44:08;562730
tribunaisdotrabalho.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;2001-03-23 12:50:33;2020-05-05 20:44:07;536774
tst.gov.br;000.509.968/0001-48;TRIBUNAL SUPERIOR DO TRABALHO;DF;Brasília;70070-943;1995-11-30 12:00:00;2020-05-05 20:44:23;4671
trt05.gov.br;000.509.968/0006-52;TRIBUNAL REGIONAL DO TRABALHO DA 5A. REGIAO;BA;Salvador;40055-010;1997-11-13 11:00:00;2019-10-25 12:37:56;69435
trt-pe.gov.br;000.509.968/0007-33;TRIBUNAL REGIONAL DO TRABALHO DA 6A. REGIAO;PE;Recife;50080-090;1997-11-14 11:00:00;2013-01-05 14:46:04;69522
trt6.gov.br;000.509.968/0007-33;TRIBUNAL REGIONAL DO TRABALHO DA 6A. REGIAO;PE;Recife;50080-090;1996-10-16 11:00:00;2019-10-02 20:46:19;19093
trt7.gov.br;000.509.968/0008-14;Tribunal Regional do Trabalho da 7A. Regiao;CE;Fortaleza;60150-162;1998-01-16 12:23:40;2012-02-24 11:09:22;81487
trt9.gov.br;000.509.968/0010-39;Tribunal Regional do Trabalho da 9ª Região;PR;Curitiba;80420-010;1999-04-13 13:45:04;2020-05-05 20:44:24;151987
trt13.gov.br;000.509.968/0014-62;Tribunal regional do Trabalho 13 Regiao;PB;João Pessoa;58013-260;1998-01-16 12:25:33;2013-05-14 17:22:30;82541
trt15.gov.br;000.509.968/0016-24;Tribunal Regional do Trabalho da 15ª Região;SP;Campinas;13015-081;1996-07-15 12:00:00;2015-04-06 18:18:51;11736
trt17.gov.br;000.509.968/0023-53;TRIBUNAL REGIONAL DO TRABALHO - 17A REGIAO;ES;Vitória;29010-190;1996-10-29 11:00:00;2020-05-05 20:44:21;20723
trt21.gov.br;000.509.968/0086-37;Tribunal Regional do Trabalho da 21ª Região;RN;Natal;59063-400;1997-06-18 12:00:00;2020-05-05 20:44:18;43814
trt22.gov.br;000.509.968/0087-18;TRIBUNAL REGIONAL DO TRABALHO DA 22A. REGIAO;PI;Teresina;64000-901;1997-06-25 12:00:00;2019-02-11 12:51:11;44732
congresso.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;1997-04-17 12:00:00;2020-05-08 18:14:26;36816
copatransparente.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2011-07-12 16:17:24;2020-05-08 18:15:01;8550844
interlegis.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;1997-07-07 12:00:00;2017-06-27 17:53:59;46196
lexml.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2005-12-19 10:44:20;2020-05-12 13:14:50;2518511
senado.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;1996-01-01 12:00:00;2020-05-08 18:15:27;0
senador.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2002-11-07 12:50:27;2020-05-08 18:15:57;1010027
senadora.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2002-11-07 12:50:27;2020-05-08 18:16:20;1009330
siga.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2009-06-03 15:03:40;2020-05-08 18:17:04;5623057
sigabrasil.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2009-02-26 12:25:28;2020-05-08 18:17:28;5296790
transparencianacopa.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2011-07-12 16:17:24;2020-05-08 18:17:50;8550859
viibra.gov.br;000.530.279/0004-68;SENADO FEDERAL;DF;Brasília;70165-900;2014-03-05 15:21:22;2020-05-08 18:18:23;12568537
ilbsenado.gov.br;000.530.279/0005-49;Secretaria Especial de Editoração e Publicações;DF;Brasília;70160-900;2000-04-11 19:05:15;2020-05-05 20:44:16;308334
agenciacamara.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2008-11-19 08:40:04;2015-06-16 13:33:35;5034350
camara.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;1997-04-26 12:00:00;2018-05-25 17:20:35;37928
camaradosdeputados.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2005-05-27 11:43:57;2015-06-08 19:42:10;2151224
cd.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2010-06-15 10:33:14;2015-06-08 17:33:22;6952893
deputado.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2007-07-04 12:32:00;2015-06-12 17:17:37;3725132
edemocracia.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2009-06-15 18:47:42;2015-06-15 17:37:33;5587853
opeixeeaartedepescar.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2009-04-16 19:33:00;2015-06-15 12:43:32;5472238
plenarinho.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2003-09-22 13:17:52;2015-06-11 14:00:27;1342021
radiocamara.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2009-10-08 18:22:41;2015-06-15 18:34:33;6001342
wikilegis.gov.br;000.530.352/0001-59;Camara dos Deputados;DF;Brasília;70160-900;2009-06-15 18:47:42;2015-06-15 14:55:51;5587856
aids.gov.br;000.530.493/0001-71;Fundo Nacional de Saúde;DF;Brasília;70070-600;1997-06-02 12:00:00;2016-04-06 17:53:35;41832
cortesmercosul.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;2007-10-30 15:48:50;2020-05-05 20:44:17;4027416
cortesmercosur.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;2007-10-30 15:48:50;2020-05-05 20:44:24;4027421
diariodajustica.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;2006-05-19 12:22:53;2020-05-05 20:44:17;2804653
dj.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;2006-05-19 12:22:53;2020-05-05 20:44:24;2804648
infojus.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;2000-08-09 14:21:41;2020-05-05 20:44:24;400199
radiojustica.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;2004-03-15 11:50:32;2020-05-05 20:44:25;1559406
rededojudiciario.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;1999-03-17 19:20:59;2020-05-05 20:44:25;147659
rededopoderjudiciario.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;1999-03-17 19:21:05;2020-05-05 20:44:12;147662
redejudiciario.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;1999-03-17 18:50:31;2020-05-05 20:44:13;147655
stf.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;1996-04-16 12:00:00;2020-05-05 20:44:18;6820
stfnet.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;1999-03-17 19:20:51;2020-05-05 20:44:23;147657
tvjustica.gov.br;000.531.640/0001-28;SUPREMO TRIBUNAL FEDERAL;DF;Brasília;70175-900;2002-03-22 12:13:03;2020-05-05 20:44:15;746725
tjdf.gov.br;000.531.954/0001-20;TRIBUNAL DE JUSTICA DO DISTRITO FEDERAL;DF;Brasília;70094-900;1997-10-09 11:00:00;2020-05-05 20:44:10;62157
tjdft.gov.br;000.531.954/0001-20;TRIBUNAL DE JUSTICA DO DISTRITO FEDERAL;DF;Brasília;70094-900;1998-07-20 17:34:38;2020-05-05 20:44:18;107450
coren-ap.gov.br;000.593.411/0001-38;Conselho Regional de Enfermagem do Amapá - Coren;AP;Macapá;68900-081;2012-04-26 19:39:27;2020-05-05 20:44:16;9778847
enap.gov.br;000.627.612/0001-09;Escola Nacional de Administração Pública - ENAP;DF;Brasília;70610-900;1997-09-10 12:00:00;2019-08-12 22:47:02;56937
